Congruent,Incongruent,C-i,,,,,,,,,,,
12.079,19.278,-7.199,0.586436876736109,-7.96479166666666,,,,12.079,max,22.328,1,7.5,#NAME?
16.791,18.741,-1.95,36.1777187934027,4.86482691035905,,,,16.791,min,8.63,2,8.74,0
9.564,21.214,-11.65,13.5807604600695,,,,,9.564,??,13.698,3,9.98,
8.63,15.687,-7.057,0.824085710069441,,,,,8.63,???,17,4,11.22,
14.669,22.803,-8.134,0.0286314600694457,,,,,14.669,??,1.2410570886,5,12.46,
12.238,20.878,-8.64,0.455906293402783,,,,,12.238,,,6,13.7,
14.692,24.572,-9.88,3.66802296006945,,,,,14.692,,,7,14.94,
8.987,17.394,-8.407,0.195548210069446,,,,,8.987,,,8,16.18,
9.401,20.762,-11.361,11.5342310434028,,,,,9.401,,,9,17.42,
14.48,26.282,-11.802,14.7241677934028,,,,,14.48,,,10,18.66,
22.328,24.524,-2.196,33.2789572934027,,,,,22.328,,,11,19.9,
15.298,18.644,-3.346,21.3332364600694,,,,,15.298,,,12,21.14,
15.073,17.51,-2.437,30.5564807100694,,,,,15.073,,,13,22.38,
16.929,20.33,-3.401,20.8281943767361,,,,,16.929,,,14,23.62,
18.2,35.255,-17.055,82.6318875434029,,,,,18.2,,,15,24.86,
12.13,22.158,-10.028,4.25682862673613,,,,,12.13,,,,,
18.495,25.139,-6.644,1.74449062673611,,,,,18.495,,,,,
10.639,20.429,-9.79,3.33138546006945,,,,,10.639,,,,,
11.344,17.425,-6.081,3.54867104340276,,,,,11.344,,,,,
12.369,34.288,-21.919,194.719930210069,,,,,12.369,,,,,
12.944,23.894,-10.95,8.91146879340278,,,,,12.944,,,,,
14.233,17.96,-3.727,17.9588782100694,,,,,14.233,,,,,
19.71,22.058,-2.348,31.5483486267361,,,,,19.71,,,,,
16.004,21.157,-5.153,7.9061723767361,,,,,16.004,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
14.051125,22.0159166666667,-7.96479166666667,,df,23,23,,,,,,,
3.5593579576452,4.79705712246914,u,,u,14.05,22.02,-7.97,,,,,,
,,S,,s,3.56,4.8,,,,,,,
,,sp2,0,sp2,17.84,,,,,,,,
,,sem,1.21928941054479,sem,1.22,,,,,,,,
,,t,-6.5327868852459,t,-6.53,,,,,,,,
